work_name,work_type,lat,lon
무지개 언덕,조각,35.19140435,129.0719597
농촌풍경,회화,35.19140435,129.0719597
자갈치 풍경,회화,35.19140435,129.0719597
나부와 꽃,회화,35.19140435,129.0719597
화합,조각,35.19372062,129.0689376
거북이의 꿈(삼각관계),조각,35.19126678,129.0620097
커다란 꽃,조각,35.19126678,129.0620097
광합성,조각,35.19126678,129.0620097
자연+인간+우연,조각,35.17615076,129.0813103
자연+인간+우연,조각,35.17615076,129.0813103
자연+인간+우연,조각,35.17615076,129.0813103
바람은 불어도 간다,조각,35.17620985,129.0797412
파도,조각,35.17620985,129.0797412
Point - 공간의 유희(Amusement of Space),조각,35.14648787,129.0658605
바다 빛,조각,35.14648787,129.0658605
춤추는 나비의 꽃,조각,35.14675663,129.0670712
그래 가끔은 하늘을 보자,조각,35.13930297,129.0679943
여명의 울림,조각,35.13930297,129.0679943
2001-플라톤의 여행,조각,35.14048067,129.0915807
소생,조각,35.12689577,129.1095243
자연 + 인간,조각,35.12689577,129.1095243
도적(都寂),조각,35.12689577,129.1095243
영원한 기억,조각,35.11884748,129.0995196
아침,조각,35.14430272,129.0642407
윤회의 모순,조각,35.12689577,129.1095243
잉태,조각,35.12689577,129.1095243
소라의 꿈,조각,35.12689577,129.1095243
토마토가 있는 풍경,조각,35.14430272,129.0642407
탄생의 기쁨,조각,35.13624319,129.0986565
정(情) - 사랑과포용,조각,35.12673075,129.0819504
봄의 축제,조각,35.13878192,129.1019826
지혜의 눈,조각,35.13766736,129.1036135
품,조각,35.13581354,129.0863392
휴식,조각,35.14335351,129.0655781
자연의 창,조각,35.11913835,129.0832541
삶 + 희망,조각,35.15096763,129.0911612
상승의 힘,조각,35.18928612,129.0627635
청호무성,서예,35.19140435,129.0719597
정의의 표상,조각,35.19140435,129.0719597
행복한 가족,조각,35.12647943,129.1077413
옛날에,조각,35.12647943,129.1077413
생명의 기원,조각,35.11051148,129.1091922
기도,조각,35.11051148,129.1091922
치유의 기도,회화,35.11051148,129.1091922
자연의 흔적,조각,35.19182191,129.0746774
체질,회화,35.19253748,129.0732703
메타포,조각,35.19253748,129.0732703
회귀,회화,35.19253748,129.0732703
십장생도석벽화,벽화,35.19253748,129.0732703
섬에서,회화,35.19253748,129.0732703
벽화로부터,회화,35.19253748,129.0732703
가변의식,회화,35.19253748,129.0732703
시간여행,조각,35.17669198,129.0670566
백양산의 아침,조각,35.17669198,129.0670566
바다의 품,조각,35.17548542,129.066909
터,조각,35.19137507,129.0742432
사랑,조각,35.18536243,129.0579253
잠시 의자에서,조각,35.18536243,129.0579253
생활속의 중도,벽화,35.18536243,129.0579253
Point-태양을 향하여,조각,35.18536243,129.0579253
꿈꾸는 의자,조각,35.18536243,129.0579253
오누이,조각,35.18536243,129.0579253
행복,조각,35.19243038,129.0711167
가족애,조각,35.19338294,129.0845915
전달된 기억-2000,조각,35.1841918,129.0832505
고향의 문,조각,35.18084604,129.1043623
OBJECT의 신화-FUTURE,조각,35.18712856,129.0844533
21C-탄생축제,조각,35.18812587,129.0838078
피리를 부는 여인,회화,35.18812587,129.0838078
비상,조각,35.18442952,129.0808601
빛에 관한 명상,조각,35.1872324,129.0809083
"Point-正,反,合(포인트-정,반,합)",조각,35.19136963,129.0869584
사적의 유출,조각,35.18177549,129.0833172
활성(活成),조각,35.14901076,129.0912558
Space - wave point,조각,35.13820126,129.0672008
꿈꾸는 석목,조각,35.19182191,129.0746774
컴퍼지션,조각,35.19182191,129.0746774
동천약어,조형물,35.151163,129.06415
사랑,조형물,35.154163,129.06009
미래,조형물,35.158112,129.05807
부산탑(서면),조형물,35.157402,129.059808
공구,조형물,35.156311,129.059592
신발,조형물,35.162216,129.04984
물놀이,조형물,35.175031,129.055183
송상현공 동상,동상,35.166925,129.06673
스웨덴참전비,기념비,35.157541,129.057664
이종무장군 대마도정벌 기념비,기념비,35.144435,129.027995
서면문화로 표지석,표지석,35.158269,129.058052
오월걸상,조형물,35.156005,129.057353
서면愛굴다리벤치길-Imaginary landscape (상상 속의 풍경),공공미술프로젝트,35.161105,129.053652
서면愛굴다리벤치길-꿈결,공공미술프로젝트,35.161105,129.053652
서면愛굴다리벤치길-상쾌한 짬,공공미술프로젝트,35.161105,129.053652
서면愛굴다리벤치길-희망의 손,공공미술프로젝트,35.161105,129.053652
"서면愛굴다리벤치길-과거,현재,미래",공공미술프로젝트,35.161105,129.053652
서면愛굴다리벤치길-동심여행,공공미술프로젝트,35.161105,129.053652
서면愛굴다리벤치길-도시속의풍경,공공미술프로젝트,35.161105,129.053652
흔적96,조각,35.1851626,129.0805295
성지연꽃길,조형물,35.17102,129.054915
동서고가로  하부조형물,조형물,35.160321,129.034858
서면愛굴다리벤치길-아름다운 화합,공공미술프로젝트,35.161105,129.053652
